,Incident,Location,Reported Date,Occured Date,Comments,Disposition,UCPDI#
475,Liquor Law Violation,5630 S. University (Max Palevsky RH),10/12/15 12:27 AM,10/12/15 12:27 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,E00652
476,Information / Traffic Crash,6054 S. Drexel (Parking Structure),10/12/15 2:31 PM,10/12/15 2:31 PM,UC owned vehicle involved in traffic crash / Property damage only / No injuries reported / MVA00423,Closed,E00653
477,Theft,"929 E, 57th St. (Gordon Center Bike Rack)",10/12/15 8:13 PM,10/12/15 9:30 AM to 7:30 PM,Secured bicycle taken from bike rack,Open,E00654
478,Theft,940 E. 57th St. (BSLC Bike Rack),10/12/15 10:35 PM,10/12/15 8:00 PM to 10:30 PM,Secured bicycle taken from bike rack,Open,E00655
479,Theft,5550 S. University (Crown Field House),10/11/15 12:01 AM,10/6/15 to 10/10/15 8:00 PM to 11:45 PM,Bicycle frame taken from bike rack leaving the front tire and lock secured to the rack,Open,E00649
480,Theft,5530 S. Ellis (Ratner A.C.),10/11/15 5:53 PM,10/11/15 4:30 PM to 5:20 PM,"Unattended, unsecured iPhone taken from bleachers while owner played basketball",Open,E00650
481,Liquor Law Violation,1414 E. 59th St. (I-House),10/10/15 1:54 AM,10/10/15 1:54 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,E00645
482,Information ,5630 S. University (Max Palevsky RH),10/10/15 2:42 AM,10/10/15 2:42 AM,Unauthorized individual attempted to enter residence hall following a group of residents / Subject cautioned about trespass and sent on his way,Closed,E00646
483,Warrant Arrest,1449 E. 57th St. (Public Way),10/10/15 5:25 PM,10/10/15 5:25 PM,"UCPD officers arrested an individual wanted on a warrant from Lansing, IL",Arrest,E00647
484,Information,1155 E. 60th St. (Harris School),10/9/15 3:13 PM,10/9/15 12:00 PM,"Information relating to a person who indicated they may have, or felt the need to, possess a firearm",Open,E00641
485,Lost Property,5815 S. Maryland (Mitchell Hospital),10/9/15 3:25 PM,10/9/15 9:15 AM to 12:00 PM,Unattended iPhone left in patient's bed missing after room was cleaned and bedding changed,Closed,E00642
486,Injured Person,1009 E. 57th St. (Hitchcock RH),10/9/15 5:05 PM,10/9/15 5:00 PM,Wood splinter from pool table lacerated right leg of individual / Transported to ER by CFD EMS,Closed,E00643
487,Theft,1100 E. 57th St. (Regenstein Library),10/8/15 2:44 PM,10/8/15 2:40 PM to 2:43 PM,"Unattended, unsecured head phones taken from 3rd floor cubicle",Open,E00636
488,Theft,5530 S. Ellis (Ratner A.C.),10/8/15 4:43 PM,10/8/15 7:00 AM to 8:45 AM,i-Pad taken from book bag left in unsecured locker in varsity locker room,Open,E00637
489,Information,E. 50th St. near Cornell,10/8/15 2:14 PM,10/8/15 7:50 PM,"Subsequent to a well-being check, ill person transported to ER for evaluation and treatment",Closed,E00638
490,Medical Call,5811 S. Ellis (Cobb Hall),10/8/15 9:09 PM,10/8/15 9:09 PM,Ill person transported to ER by CFD EMS,Closed,E00639
491,Found Property,5710 S. Woodlawn,10/7/15 10:39 AM,10/6/15 7:30 AM,Painting found on front lawn / Turned over to UCPD and inventoried for safekeeping,Closed,E00632
492,Mental Health Transport,5758 S. Maryland (Public Way),10/7/15 11:40 AM,10/7/15 11:40 AM,Disturbed individual transported to hospital for evaluation and treatment,Closed,E00633
493,Found Property,5500 S. Drexel (Public Way),10/7/15 7:20 PM,10/7/15 8:45 PM,Individual found wallet on the public way and turned it over to UCPD / Inventoried for safekeeping,Closed,E00634
494,Information,1160 E. 58th St. (Saieh Hall),10/6/15 8:57 AM,10/6/15 8:57 AM,Painting found on the exterior steps of the building was inventoried at UCPD HQ for safekeeping,Closed,E00630
495,Lost Property,901 E. 58th St. ,10/5/15 5:13 AM,10/3/15 to 10/4/15 11:55 PM to 12:00 AM,Staff member reports lost vehicle keys,Closed,E00626
496,Information / Attempted Robbery / Vehicle Hijacking,Blackstone between 54th &amp; 55th,10/5/15 10:10 AM,10/5/15 10:00 AM,Unknown suspect attempted to forcibly take victim's car and other property on the street off-campus / Suspect fled when victim called for help / CPD case HY450134,CPD,
497,Information  ,5721 S. Maryland (Comer Hospital),10/5/15 10:50 AM,10/4/15 to 10/5/15 6:00 PM to 10:25 AM,Report of suspicious calls received by staff,Closed,E00627
498,Theft,5640 S. Ellis (Eckhardt Research Center),10/5/15 3:59 PM,10/5/15 7:15 AM to 12:30 PM,Wallet taken from unattended purse left in unsecured office / Subsequent unauthorized use of credit card reported,Open,E00628
499,Information,5730 S. Drexel,10/4/15 8:06 PM,10/4/15 7:45 PM,Information relating to a suspicious telephone call received by a staff member,Closed,E00622
500,Void,Void,Void,Void,Number generated in error,Void,E00623
501,Medical Call,6031 S. Ellis (Granville-Grossman RH),10/4/15 8:40 PM,10/4/15 8:40 PM,Ill person transported to ER by CFD EMS for evaluation and treatment,Closed,E00624
502,Information / Medical Call,5125 S. Kenwood (Chicago Arms Apts.),10/3/15 6:13 AM,10/3/15 3:00 AM,Injured person transported to ER by CFD EMS for evaluation and treatment / CPD case HY447758,CPD,E00618
503,Battery / Domestic,55th St. at Woodlawn (Public Way),10/3/15 4:09 PM,10/3/15 4:09 PM,Male subject struck girlfriend in the face with his fist off-campus / Arrested by UCPD officer,Arrest,E00619
504,Criminal Damage to Property,5807 S. Woodlawn (Booth School),10/3/15 6:47 PM,10/3/15 6:30 PM,"Unknown person(s) removed four 10"" metal letters from sign on northwest exterior wall of the building",Open,E00620
505,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1443762000,,,,,,
506,Theft,970 E. 58th St. (Bookstore),10/1/15 10:52 AM,10/1/15 10:40 AM to 10:50 AM,Individual was seen taking 10 medical books and placing them into a large bag before fleeing from the store without paying,Open,E00614
507,Theft,5841 S. Maryland (Wyler Hospital),10/1/15 2:51 PM,9/1/15 to 10/1/15 9:00 AM to 2:50 PM,Cash taken from envelope in unsecured desk drawer in shared office,Open,E00615
508,Burglary,1108 E. 53rd St. (Neighborhood Apts.),9/30/15 10:56 AM,9/29/15 to 9/30/15 11:00 AM to 10:45 AM,Unknown person(s) forced entry via basement door and took tools,Open,E00612
509,Information / Hit &amp; Run / Personal Injury,5700 S. Maryland (Public Way),9/29/15 9:19 AM,9/29/15 9:15 AM,Vehicle struck pedestrian in roadway and drove off without stopping / Victim taken to ER for evaluation and treatment / CPD case HY442790,CPD,E00607
510,Theft,5848 S. University (Kelly Hall),9/29/15 12:15 PM,9/29/15 11:50 AM to 12:00 PM,Unattended laptop computer taken from unsecured second floor room,Open,E00608
511,Void,Void,Void,Void,Number generated in error,Void,E00609
512,Theft,5640 S. Ellis (Eckhardt Research Center),9/29/15 10:54 PM,9/29/15 10:30 AM to 6:20 PM,Laptop computer and credit cards taken from bag left unattended and unsecured in shared room / Unauthorized use of credit cards reported,Open,E00610
513,Theft,1158 E. 58th St. (Oriental Institute Bike Rack),9/28/15 8:21 AM,9/27/15 5:40 PM to 7:15 PM,Secured bicycle taken from bike rack,Open,E00598
514,Information / Traffic Crash,5505 S. Ellis (Public Way),9/28/15 8:41 AM,9/28/15 8:41 AM,UC owned vehicle parked at the curb was sideswiped by a passing vehicle / No injuries reported / MVA00418,Closed,E00599
515,Damage to Property,5757 S. University (Saieh Hall),9/28/15 11:30 AM,9/25/15 to 9/28/15 4:35 PM to 8:00 AM,Letters on building signage near the south entrance were loosened / Cause unknown at this time,Closed,E00600
516,Void,Void,Void,Void,Number generated in error,Void,E00601
517,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1443330000,,,,,,
518,Liquor Law Violation,5709 S. Ellis (Snell RH),9/26/15 1:26 AM,9/26/15 1:26 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,E00593
519,Lost Property,901 E. 58th St. (Mitchell ER),9/26/15 11:25 AM,9/25/15 to 9/26/15 8:20 PM to 10:30 AM,Individual reported losing purse while in ER,Closed,E00594
520,Information,5700 S. Maryland (CCD),9/26/15 3:04 PM,9/26/15 2:20 PM,Staff member reported being inappropriately touched on the side by a patient while being treated but did not want to place charges,Closed,E00595
521,Liquor Law Violation,901 E. 58th St. (Mitchell ER),9/25/15 2:40 AM,9/25/15 2:40 AM,Underage individual became ill after consuming alcoholic beverages / Escorted to ER for evaluation and treatment,Referred,E00591
522,Liquor Law Violation,1414 E. 59th St. (I-House),9/24/15 12:33 AM,9/24/15 12:33 AM,Underage person became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,E00586
523,Theft,901 E. 58th St. (Mitchell ER),9/24/15 8:43 AM,9/23/15  8:00 AM to 5:00 PM,"Cash taken from unattended, unsecured purse left on the floor in the emergency room",Open,E00587
524,Criminal Trespass to Land,5801 S. Ellis (Main Quad),9/24/15 10:56 AM,9/24/15 10:55 AM,Individual soliciting funds from passersby was given a written warning of trespass to land ,Closed,E00588
525,Information / Suspicious Package,940 E. 57th St. (Biopsychological Research),9/24/15 2:44 PM,9/24/15 2:20 PM,Staff member opened a package that contained a white powdery substance - analysis revealed to be a controlled substance / CPD case HY436588,CPD,E00589
526,Lost Property,6054 S. Drexel,9/23/15 12:53 PM,9/23/15 8:00 AM to 8:45 AM,Individual reports losing wallet at unknown location / CPD case HY434978,CPD,E00584
527,Liquor Law Violation,6031 S. Ellis (Granville-Grossman RH),9/22/15 2:22 AM,9/22/15 2:22 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,E00582
528,Information,5800 S. Stony Island (Public Way),9/22/15 3:52 PM,9/22/15 2:15 PM,Staff member directing traffic in front of Shapiro School was struck by a vehicle that drove off southbound on Stony Island / Victim refused medical attention / CPD case,CPD,E00583
529,Burglary,5730 S. Woodlawn (Human Development),9/21/15 7:25 AM,9/19/15 to 9/21/15 3:30 PM to 6:15 AM,Unknown person(s) forced entry to building being renovated / Took 12 extension cords and a ladder,Open,E00578
530,Deceptive Practice,5525 S. Ellis (Maroon Financial),9/21/15 9:52 AM,9/4/15 to 9/5/15 2:55 PM to 3:50 PM,"Fraudulent check deposited to account / Pursuant to follow up by UCPD Investigations, suspect arrested and charged with felony deceptive practice on 2/2/16",Arrest,E00579
531,Theft,5747 S. Ellis (Jones Lab Bike Rack),9/21/15 12:22 PM,9/21/15 9:00 AM to 12:00 PM,Secured bicycle taken from bike rack / Complainant discovered she had secured bike to another rack / Incident unfounded,Unfounded,E00580
532,Liquor Law Violation,Ingleside between 51st &amp; 52nd,9/20/15 2:20 AM,9/20/15 2:20 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,E00576
533,Void,Void,Void,Void,Number generated in error,Void,E00574
534,Battery,5700 S. Maryland (CCD),9/19/15 10:39 PM,9/19/15 10:00 PM,Staff member struck in face while attending to patient / Staff member refused to sign complaint ,Ex. Cleared,E00575
535,Theft,"5110 S. Kenwood (Shelbyrne Apts,)",9/18/15 8:10 AM,9/17/15 to 9/18/15 7:00 PM to 8:20 AM,Unknown person opened and took items from parcels delivered to common area of off-campus apartment building,Open,E00570
536,Theft,1101 E. 56th St. (Max Palevsky RH),9/18/15 1:00 PM,9/18/15 9:00 AM to 11:00 AM,Secured bicycle taken from bike rack,Open,E00571
537,Theft,1116 E. 59th St. (Harper Library),9/18/15 2:58 PM,9/15/15 to 9/18/15 9:00 AM to 2:50 PM,Secured bicycle taken from bike rack,Open,E00572
538,Assist Other Agency,820 E. Midway Pl.,9/18/15 9:00 PM,9/18/15 9:00 PM,UCPD officers detained a suspect for possession of a replica handgun / Suspect arrested and charged by CPD,CPD,E00573
539,Armed Robbery,900 E. Midway Pl.,9/17/15 12:55 AM,9/17/15 12:50 AM,"Three unknown suspects, one armed with a handgun, took cell phones from two victims walking on Midway Pl. / Victims reported no injuries",Open,E00567
540,Non-Criminal Damage to Property,970 E. 58th St. (Bookstore),9/17/15 2:13 PM,9/17/15 2:13 PM,Water pipe in basement broke / Undetermined amount of water damage to stored merchandise,Closed,E00568
541,Lost Property,1100 E. 57th St. ,9/16/15 10:01 AM,9/15/16 2:00 PM to 6:20 PM,Individual reports losing iPhone while on campus / Phone was found on 9/16/15 and returned to owner,Closed,E00562
542,Lost Property,5700 S. Maryland (CCD),9/16/15 12:49 PM,8/11/15 to 9/1/15 3:00 PM to 3:00 PM,Visitor left cell phone in patient's room for extended period of time / Phone is missing,Closed,E00563
543,Lost Property,5706 S. University (Court Yard),9/16/15 12:47 PM,9/15/15 3:10 PM to 4:40 PM,iPhone lost between 1155 E. 60th St. and 5706 S. University,Closed,E00564
544,Theft,5747 S. Ellis (Jones Lab Bike Rack),9/16/15 3:31 PM,9/16/15 10:30 AM to 3:00 PM,Secured bicycle taken from bike rack,Open,E00565
545,Theft,1111 E. 60th St. (Law School),9/15/15 6:25 PM,9/15/15 8:30 AM to 9:00 AM,"Laptop computer taken from unattended, unsecured bag in 3rd floor library / Follow up investigation revealed the computer was found and kept for safekeeping / Returned to owner on 9/22/15 / No theft involved",Unfounded,E00561
546,Theft,1427 E. 60th St. (Press Building),9/14/15 9:40 AM,9/14/15 9:20 AM to  9:30 AM,"Unattended, unsecured purse taken from 2nd floor work cubicle",Open,E00557
547,Lost Property,5758 S. Maryland (DCAM),9/14/15 3:11 PM,9/14/2015  3:05:00 PM to 3:10 PM,Individual reported losing a plastic I.D. jacket while in the hospital,Closed,E00558
548,Non-Criminal Damage to Property,5823 S. Kenwood (Sunny Gym),9/14/15 4:27 PM,9/14/15 4:00 PM,"Two 6""x12"" window panes in gym shattered by a soccer ball / No injuries reported",Closed,E00559
549,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1442120400,,,,,,
550,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1442034000,,,,,,
551,Criminal Trespass to Land,6031 S. Ellis (Granville-Grossman RH),9/11/15 3:48 AM,9/11/15 3:48 AM,Unauthorized individual gained access to the building and disregarded orders to leave the premises / Arrested by UCPD,Arrest,E00552
552,Burglary,5811 S. Ellis (Cobb Hall),9/11/15 1:46 PM,9/11/15 10:30 AM to 12:05 PM,Unknown person forced entry to 2nd floor office and took a power cord from a desk,Open,E00553
553,Theft,5530 S. Ellis (Ratner A.C.),9/11/15 4:25 PM,9/10/15 to 9/11/15 5:30 PM to 8:30 AM,"Unattended, unsecured stereo equipment taken from top of lockers in men's locker room",Open,E00554
554,Information / Damage to Vehicle,5850 S. Woodlawn (Rockefeller Chapel),9/10/15 12:25 AM,9/10/15 12:01 AM,UC owned vehicle made contact with concrete archway support base in driveway / Minor paint damage to vehicle / No damage to support base,Closed,E00550
555,Battery,5815 S. Maryland (Mitchell Hospital),9/9/15 7:37 AM,9/9/15 7:30 AM,"During an argument in a locker room, one staff member pushed another / Suspect left before police arrived / Victim refused to prosecute the known offender / Exceptionally Cleared and Closed",Ex. Cleared,E00548
556,https://incidentreports.uchicago.edu/incidentReportArchive.php?reportDate=1441688400,,,,,,
557,Theft,5050 S. Lake Shore Dr.,9/7/15 4:46 PM,8/30/15 to 9/7/15 3:55 PM to 4:45 PM,Individual sold and shipped computer to subject in Nigeria via Market Place website / Promised payment not forthcoming,Open,E00545
